gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	count_expr.cells_sympt	min.cells_sympt	lower_hinge.cells_sympt	median.cells_sympt	upper_hinge.cells_sympt	max.cells_sympt	mean.cells_sympt	sd.cells_sympt	count_all.cells_sympt	count_expr.cells_asympt	min.cells_asympt	lower_hinge.cells_asympt	median.cells_asympt	upper_hinge.cells_asympt	max.cells_asympt	mean.cells_asympt	sd.cells_asympt	count_all.cells_asympt
MT-ND4L	1.7646083402499e-13	-0.404044723840748	0.487	0.825	6.45864298614865e-09	725	0.60609792722144	1.12180568848536	1.37765692841824	1.75971414861151	2.97606115125829	1.47112725994742	0.441778756864	1490	113	0.760255424120942	1.05062135876332	1.49104808455961	1.914767796871	3.29737888635614	1.54020779722637	0.550064362340616	137
MT-ND5	2.61664532486505e-30	-0.308757180922239	0.87	1	9.57718355353858e-26	1297	0.822633512469048	1.98167525977434	2.5202607359391	2.94880745714876	4.18144964154931	2.45165119704858	0.677492630140848	1490	137	1.18878962790455	2.51038419393937	2.86887630391831	3.30970457668936	3.91982106258215	2.88200780553702	0.576791650402375	137
MTRNR2L12	7.51673169398462e-65	-0.759792441648231	0.619	1	2.75119896731531e-60	922	0.607807206265951	1.19197450625914	1.55915725740753	1.92544950968523	3.86371033917873	1.60923499223733	0.491917790484592	1490	137	0.766740405185958	2.04153363933547	2.36963091895934	2.75067584322644	3.55904672250949	2.37935130107793	0.574770480412388	137
MYBL1	2.15966198985675e-06	-0.259551082104022	0.468	0.73	0.0790457884907469	697	0.395170302564178	1.10830541787377	1.30926032461894	1.70963346024874	3.40859252993031	1.43763272690461	0.433185253617666	1490	100	0.603383587808824	0.958938706216731	1.32804693381723	1.60753840994714	3.15795836738679	1.37296475912116	0.507081411045538	137
MYOM2	1.09936006692494e-91	0.688513508687804	0.334	0.015	4.02376778095196e-87	498	0.707708684500187	1.43240845022191	1.9241999248066	2.34485287044446	3.32912389846286	1.914428566013	0.58190410440985	1490	2	0.738434714178175	0.738434714178175	1.20004582770715	1.66165694123613	1.66165694123613	1.20004582770715	0.652816697294828	137
NLRC5	1.11248492325093e-05	-0.272655297691665	0.313	0.555	0.407180606759072	466	0.494471565509494	1.03142284418031	1.18522971481701	1.51912858839039	3.53208004127273	1.30722945543186	0.392709647398067	1490	76	0.603383587808824	0.889097804824791	1.18335290740751	1.55081927562668	3.04961604354065	1.26529893141057	0.493066679074912	137
PAG1	2.48182825326924e-06	-0.265409637590771	0.114	0.343	0.0908373958979073	170	0.60609792722144	0.99008935790577	1.10796702179108	1.25258442576069	2.9704856222211	1.16365725238861	0.294131643043815	1490	47	0.707030621198177	0.844829454917955	0.937945121309537	1.1822751136956	2.04153363933547	1.05390696351222	0.313049914266686	137
PIM1	1.04168596117187e-06	-0.296054671626925	0.16	0.409	0.0381267478648517	238	0.494471565509494	1.06348710303998	1.18649807078951	1.43010663470703	2.28762533391102	1.27162578040566	0.322502279060109	1490	56	0.707030621198177	0.936764023485387	1.10756740816502	1.24955913624843	2.15739761984791	1.16735693154835	0.329116115891998	137
PLCG2	4.60029100485089e-06	-0.271401904395492	0.411	0.664	0.168375251068547	613	0.607807206265951	1.09515759482557	1.28776377828259	1.69115759677296	3.82962015745595	1.45710585330217	0.515430648435949	1490	91	0.707030621198177	0.968652224028271	1.32344496754583	1.76706142944453	2.57928385152353	1.40090013316778	0.506113485888048	137
PTGDS	9.17161576791692e-05	-0.452597808279013	0.122	0.285	1	182	0.627734915373777	1.09821244859881	1.57044932353687	2.75975840271041	4.41769250204477	1.95067866657073	1.01394092123074	1490	39	0.71397911879888	1.04874157281861	2.63692424278744	3.72506895786126	4.24543777106785	2.43992222925945	1.32483073834089	137
