baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,gene_id
1.2105841977868,-0.0743350224249492,1.74690964486334,-0.0425522995098949,0.966058420496148,1,Double.KDKO vs Wildtype,snR66
1.3119351802077,0.736570716795137,1.41931605827753,0.518961729841224,0.603787429103987,1,Double.KDKO vs Wildtype,snR67
0.224496726637491,1.12001342789818,4.40735632396697,0.25412363910937,0.79940004132735,1,Double.KDKO vs Wildtype,snR68
0.307594295622862,0.111199642681577,4.13488859772691,0.0268930202237388,0.978545060560152,1,Double.KDKO vs Wildtype,snR69
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,snR7-L
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,snR7-S
12.3117448403244,-0.194860287734168,0.753122740726708,-0.258736427937553,0.795838610919885,1,Double.KDKO vs Wildtype,snR70
1.47211635199594,0.00537819267936738,2.04479786015882,0.00263018305337509,0.997901419969242,1,Double.KDKO vs Wildtype,snR71
0.0582062473947181,1.11999474501816,4.40735632396697,0.254119400087459,0.799403316112734,1,Double.KDKO vs Wildtype,snR72
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,snR73
0.201418003347287,0.690351664539691,4.38093728645065,0.157580814195813,0.874787122719226,1,Double.KDKO vs Wildtype,snR74
10.3014246797383,1.34947805164828,0.940361624892296,1.43506286935395,0.151269183108082,1,Double.KDKO vs Wildtype,snR75
1.28107726405783,-1.18868976057376,1.57186880451206,-0.756227082795725,0.449513057648372,1,Double.KDKO vs Wildtype,snR76
4.93898570598664,-0.390201263969901,0.830109596943522,-0.470059935948974,0.638312196890537,1,Double.KDKO vs Wildtype,snR77
0.21940990122269,-1.59704735271691,4.37855136263579,-0.364743318154322,0.715303019750325,1,Double.KDKO vs Wildtype,snR78
0.257610164687265,1.12001379970753,4.36314671053632,0.256698633810061,0.797411426278851,1,Double.KDKO vs Wildtype,snR79
5.38738233760835,0.0988306541390748,0.896487957166456,0.110242032086466,0.912217428617954,1,Double.KDKO vs Wildtype,snR8
2.59130664130384,0.83123116068615,1.16196263788638,0.715368234385027,0.47438153556806,1,Double.KDKO vs Wildtype,snR80
2.20459176672888,-0.00861758368151466,1.12827074349444,-0.00763786859776633,0.993905921820203,1,Double.KDKO vs Wildtype,snR81
13.5641896958767,0.048180163704004,0.549212184238661,0.0877259556264092,0.930094489543726,1,Double.KDKO vs Wildtype,snR82
9.0701313632371,0.222196002634011,0.680353564140962,0.326589018335728,0.743978750581022,1,Double.KDKO vs Wildtype,snR83
24.9652369772766,1.10348314862577,0.574307054610913,1.92141667034434,0.0546791985561811,1,Double.KDKO vs Wildtype,snR84
4.61421807412659,-0.00323072325144398,0.85832270234249,-0.00376399603858416,0.996996772765346,1,Double.KDKO vs Wildtype,snR85
21.1553252481755,-0.472821530710584,0.630560308606885,-0.749843471364701,0.453348983549828,1,Double.KDKO vs Wildtype,snR86
2.0561624421877,-0.54909057100872,1.13354593466822,-0.484400811837798,0.628101442382888,1,Double.KDKO vs Wildtype,snR87
3.08028728614595,1.21388359058805,1.11721084363075,1.08653044097131,0.277244380672198,1,Double.KDKO vs Wildtype,snR9
163.371226030775,0.909554202763274,0.250415944771418,3.63217367645469,0.000281043860141074,0.0625042626884598,Double.KDKO vs Wildtype,SRG1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)D
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)F
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)G
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)H
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)J
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)K1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)K2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)L
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)M1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)M2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(AGC)P
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(UGC)A
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(UGC)E
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(UGC)G
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(UGC)L
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(UGC)O
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tA(UGC)Q
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tC(GCA)B
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tC(GCA)G
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tC(GCA)P1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tC(GCA)P2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tC(GCA)Q
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)B
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)D
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)G1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)G2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)I1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)I2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)J1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)J2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)J3
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)J4
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)K
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)L1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)L2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)M
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)N
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)O
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tD(GUC)Q
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(CUC)D
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(CUC)I
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)B
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)C
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)E1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)E2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)E3
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)G1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)G2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)G3
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)I
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)J
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)K
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)L
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)M
0.0825100399191824,1.11999474501816,4.40735632396697,0.254119400087459,0.799403316112734,1,Double.KDKO vs Wildtype,tE(UUC)P
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tE(UUC)Q
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)B
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)D
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)F
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)G
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)H1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)H2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)M
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)N
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)P1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)P2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tF(GAA)Q
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(CCC)D
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(CCC)O
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)B
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)C
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)D1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)D2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)E
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)F1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)F2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)G1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)G2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)J1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)J2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)M
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)O1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)O2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)P1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(GCC)P2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(UCC)G
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(UCC)N
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(UCC)O
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tG(UCC)Q
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tH(GUG)E1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tH(GUG)E2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tH(GUG)G1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tH(GUG)G2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tH(GUG)H
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tH(GUG)K
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tH(GUG)M
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tH(GUG)Q
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)B
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)D
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)E1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)E2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)G
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)I1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)I2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)L1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)L2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)N1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)N2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)P1
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(AAU)P2
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(GAU)Q
0,NA,NA,NA,NA,NA,Double.KDKO vs Wildtype,tI(UAU)D
