baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,gene_id
4.938986,0.0,0.8301096,-0.47005993,0.6383122,1.0,Double.KDKO vs Wildtype,snR77
0.2194099,0.0,4.3785515,-0.36474332,0.715303,1.0,Double.KDKO vs Wildtype,snR78
0.25761017,0.0,4.363147,0.25669864,0.79741144,1.0,Double.KDKO vs Wildtype,snR79
5.3873825,0.0,0.89648795,0.11024203,0.91221744,1.0,Double.KDKO vs Wildtype,snR8
2.5913067,0.0,1.1619626,0.7153682,0.47438154,1.0,Double.KDKO vs Wildtype,snR80
2.2045918,0.0,1.1282707,-0.0076378686,0.9939059,1.0,Double.KDKO vs Wildtype,snR81
13.56419,0.0,0.54921216,0.08772595,0.9300945,1.0,Double.KDKO vs Wildtype,snR82
9.070131,0.0,0.6803536,0.32658902,0.74397874,1.0,Double.KDKO vs Wildtype,snR83
24.965237,0.0,0.5743071,1.9214166,0.0546792,1.0,Double.KDKO vs Wildtype,snR84
4.614218,0.0,0.8583227,-0.003763996,0.99699676,1.0,Double.KDKO vs Wildtype,snR85
21.155325,0.0,0.6305603,-0.7498435,0.453349,1.0,Double.KDKO vs Wildtype,snR86
2.0561624,0.0,1.1335459,-0.4844008,0.62810147,1.0,Double.KDKO vs Wildtype,snR87
3.0802872,0.0,1.1172109,1.0865304,0.2772444,1.0,Double.KDKO vs Wildtype,snR9
163.37123,0.9095542,0.25041595,3.6321738,0.00028104387,0.06250426,Double.KDKO vs Wildtype,SRG1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)F
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)G
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)H
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)J
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)K1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)K2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)L
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)M1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)M2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(AGC)P
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(UGC)A
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(UGC)E
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(UGC)G
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(UGC)L
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(UGC)O
0.0,0.0,,,,,Double.KDKO vs Wildtype,tA(UGC)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tC(GCA)B
0.0,0.0,,,,,Double.KDKO vs Wildtype,tC(GCA)G
0.0,0.0,,,,,Double.KDKO vs Wildtype,tC(GCA)P1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tC(GCA)P2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tC(GCA)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)B
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)G1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)G2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)I1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)I2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)J1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)J2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)J3
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)J4
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)K
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)L1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)L2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)M
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)N
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)O
0.0,0.0,,,,,Double.KDKO vs Wildtype,tD(GUC)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(CUC)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(CUC)I
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)B
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)C
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)E1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)E2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)E3
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)G1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)G2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)G3
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)I
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)J
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)K
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)L
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)M
0.08251004,0.0,4.4073563,0.2541194,0.7994033,1.0,Double.KDKO vs Wildtype,tE(UUC)P
0.0,0.0,,,,,Double.KDKO vs Wildtype,tE(UUC)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)B
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)F
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)G
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)H1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)H2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)M
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)N
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)P1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)P2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tF(GAA)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(CCC)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(CCC)O
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)B
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)C
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)D1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)D2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)E
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)F1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)F2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)G1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)G2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)J1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)J2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)M
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)O1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)O2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)P1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(GCC)P2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(UCC)G
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(UCC)N
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(UCC)O
0.0,0.0,,,,,Double.KDKO vs Wildtype,tG(UCC)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tH(GUG)E1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tH(GUG)E2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tH(GUG)G1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tH(GUG)G2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tH(GUG)H
0.0,0.0,,,,,Double.KDKO vs Wildtype,tH(GUG)K
0.0,0.0,,,,,Double.KDKO vs Wildtype,tH(GUG)M
0.0,0.0,,,,,Double.KDKO vs Wildtype,tH(GUG)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)B
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)E1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)E2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)G
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)I1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)I2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)L1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)L2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)N1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)N2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)P1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(AAU)P2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(GAU)Q
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(UAU)D
0.0,0.0,,,,,Double.KDKO vs Wildtype,tI(UAU)L
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)C
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)D1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)D2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)E1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)E2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)F
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)G1
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)G2
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)G3
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)I
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)J
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)K
0.0,0.0,,,,,Double.KDKO vs Wildtype,tK(CUU)M
