	37_10_Double.KDKO_r1	37_10_MSN24.KO_r3	37_10_MSN24.KO_r1	37_10_Double.KDKO_r3	37_10_MSN24.KO_r2	37_10_Double.KDKO_r2	37_10_HSF1.KD_r1	37_10_Wildtype_r3	37_10_Wildtype_r1	37_10_HSF1.KD_r3	37_10_Wildtype_r2	37_10_HSF1.KD_r2
YKL081W	8672	5397	8970	12719	6108	9851	12478	6708	5256	6691	2693	10016
YKL082C	91	49	32	108	20	39	65	6	6	23	5	84
YKL083W	3	1	0	1	2	0	0	3	1	1	0	0
YKL084W	207	253	341	328	262	293	280	491	132	155	111	245
YKL085W	2241	1776	2059	2346	1921	1935	8374	8247	3824	9702	7174	20507
YKL086W	33	12	46	26	28	22	445	112	110	247	172	412
YKL087C	205	236	204	295	174	178	469	413	209	464	400	1042
YKL088W	265	188	256	251	201	344	495	365	242	326	134	524
YKL089W	60	110	59	95	38	43	31	11	10	25	26	72
YKL090W	481	195	198	310	226	488	682	633	275	314	268	1031
YKL091C	460	545	469	555	418	373	3236	3638	1150	2874	1445	5841
YKL092C	202	308	187	277	169	155	212	100	73	139	65	280
YKL093W	130	109	158	175	98	144	897	2397	404	1565	1061	2703
YKL094W	612	891	512	736	467	395	697	306	292	663	381	1570
YKL095W	242	149	188	230	145	217	579	265	196	173	151	432
YKL096C-B	1	0	0	0	1	0	0	0	0	0	0	0
YKL096W	4347	12876	8279	12095	7121	3878	5341	6588	2552	9802	4483	15923
YKL096W-A	13057	9844	16761	18262	14292	15693	13919	16151	6655	15122	11296	26527
YKL097C	21	6	19	9	9	4	11	2	6	18	2	11
YKL098W	324	188	238	310	276	281	486	199	169	376	162	594
YKL099C	32	8	12	55	5	15	27	9	4	13	0	28
YKL100C	874	1410	1493	1839	1043	1068	2502	3050	1449	2740	1090	3470
YKL100W-A	0	0	0	0	0	0	0	0	0	0	0	0
YKL101W	890	687	759	959	591	845	1161	887	484	461	278	981
YKL102C	1	0	0	0	0	2	1	0	2	1	1	3
YKL103C	762	510	803	583	710	674	3896	3198	2252	3660	2157	6281
YKL104C	4334	4683	5057	5697	3873	3693	4010	1266	1880	3096	1152	5102
YKL105C	251	240	306	326	253	304	738	963	386	441	300	611
YKL106C-A	0	0	1	1	0	0	0	0	0	0	0	1
YKL106W	679	370	403	581	350	546	482	189	171	250	42	459
YKL107W	6	23	10	19	11	4	9	8	3	9	7	26
YKL108W	220	163	128	186	146	177	221	309	104	128	132	369
YKL109W	1409	391	628	1182	521	1244	4921	1909	778	2556	480	3548
YKL110C	283	329	226	360	197	291	912	730	290	803	197	1286
YKL111C	0	0	0	0	0	0	0	0	0	0	0	0
YKL112W	1461	1244	1338	1408	1166	1378	1671	1488	764	924	635	1971
YKL113C	66	104	72	84	38	44	33	5	9	17	12	43
YKL114C	123	190	95	180	65	100	62	19	28	72	23	101
YKL115C	3	6	1	3	3	7	5	2	8	2	2	5
YKL116C	706	816	872	1195	727	906	1290	1213	579	722	524	1263
YKL117W	621	1971	752	1040	630	368	521	468	313	625	423	1522
YKL118W	0	0	0	0	0	0	0	0	0	0	0	0
YKL119C	50	147	72	109	64	32	24	7	14	36	13	100
YKL120W	2780	2014	1746	3369	1611	2605	914	168	277	353	149	1166
YKL121W	534	594	649	729	620	634	1258	1684	660	1061	787	2047
YKL122C	274	265	154	262	167	194	365	58	80	110	68	301
YKL123W	40	49	43	42	27	39	153	95	60	67	9	147
YKL124W	168	157	149	176	110	114	338	172	152	276	95	416
YKL125W	118	35	22	144	25	117	167	43	50	114	35	215
YKL126W	1180	1123	1729	1314	1527	1485	2378	2015	1260	1777	1028	2641
YKL127W	906	1017	1014	1364	800	849	1159	698	649	997	346	1424
YKL128C	447	407	423	552	317	390	270	97	149	267	137	517
YKL129C	575	398	564	474	539	553	1751	1084	655	682	401	994
YKL130C	472	524	364	656	323	378	717	420	256	444	172	816
YKL131W	3	8	5	10	6	11	4	7	4	2	7	5
YKL132C	95	70	66	129	46	88	82	26	51	84	21	96
YKL133C	16	51	20	45	12	15	17	16	10	41	12	62
YKL134C	259	276	238	290	190	184	188	104	96	116	52	284
YKL135C	983	1261	1009	1286	827	834	1147	723	496	677	362	1275
YKL136W	5	3	1	4	0	0	4	3	2	3	0	7
YKL137W	20	64	14	69	4	7	21	2	2	24	9	42
YKL138C	387	418	268	355	240	261	576	196	200	303	266	980
YKL138C-A	2	8	3	4	1	3	0	1	1	5	3	4
YKL139W	140	130	86	179	70	95	102	66	36	62	63	159
YKL140W	668	781	767	769	698	768	1691	1722	921	1243	821	2191
YKL141W	950	1144	1231	1336	993	853	1194	1118	643	1275	632	1627
YKL142W	263	543	229	328	267	240	410	167	228	649	368	1565
YKL143W	30	13	8	22	2	18	35	5	10	9	2	11
YKL144C	126	50	42	167	57	108	82	26	30	24	20	79
YKL145W	1758	2085	2160	1277	1975	1020	1235	579	790	837	648	1636
